timstamp,open,high,low,close
1634169600000,3607.41000000,3824.00000000,3586.04000000,3790.82000000
1634256000000,3790.82000000,3907.77000000,3734.10000000,3868.99000000
1634342400000,3868.38000000,3971.00000000,3803.56000000,3829.96000000
1634428800000,3829.96000000,3919.19000000,3640.00000000,3846.85000000
1634515200000,3847.00000000,3893.14000000,3676.00000000,3744.96000000
1634601600000,3744.96000000,3886.89000000,3732.00000000,3877.03000000
1634688000000,3876.98000000,4169.00000000,3828.05000000,4161.15000000
1634774400000,4161.37000000,4375.00000000,4013.13000000,4052.99000000
1634860800000,4053.00000000,4167.41000000,3888.00000000,3972.20000000
1634947200000,3972.19000000,4172.00000000,3937.51000000,4167.12000000
1635033600000,4167.13000000,4186.57000000,3961.50000000,4082.33000000
1635120000000,4082.33000000,4236.00000000,4067.71000000,4220.37000000
1635206400000,4220.36000000,4297.00000000,4090.21000000,4131.52000000
1635292800000,4131.52000000,4307.00000000,3909.00000000,3922.00000000
1635379200000,3921.99000000,4295.00000000,3890.17000000,4286.02000000
1635465600000,4286.01000000,4460.47000000,4265.97000000,4418.89000000
1635552000000,4418.89000000,4434.06000000,4232.20000000,4322.68000000
1635638400000,4322.68000000,4399.14000000,4164.35000000,4287.21000000
1635724800000,4287.48000000,4386.58000000,4146.30000000,4319.43000000
1635811200000,4319.43000000,4599.60000000,4284.43000000,4589.89000000
1635897600000,4589.68000000,4665.87000000,4455.00000000,4603.35000000
1635984000000,4603.35000000,4606.65000000,4420.08000000,4532.32000000
1636070400000,4532.31000000,4570.05000000,4438.80000000,4474.24000000
1636156800000,4474.24000000,4530.00000000,4326.17000000,4518.00000000
1636243200000,4518.00000000,4637.98000000,4502.37000000,4612.59000000
1636329600000,4612.59000000,4822.97000000,4612.00000000,4807.98000000
1636416000000,4807.98000000,4838.28000000,4713.89000000,4732.33000000
1636502400000,4732.33000000,4868.00000000,4461.93000000,4628.78000000
1636588800000,4628.68000000,4779.00000000,4576.47000000,4719.00000000
1636675200000,4719.00000000,4809.71000000,4507.85000000,4665.46000000
1636761600000,4665.47000000,4707.60000000,4584.08000000,4644.28000000
1636848000000,4644.27000000,4696.05000000,4514.12000000,4626.50000000
1636934400000,4626.50000000,4772.01000000,4540.00000000,4563.78000000
1637020800000,4563.77000000,4563.77000000,4103.00000000,4209.76000000
1637107200000,4209.59000000,4299.91000000,4063.48000000,4287.80000000
1637193600000,4288.07000000,4344.81000000,3956.44000000,3996.90000000
1637280000000,3996.90000000,4308.97000000,3973.01000000,4294.76000000
1637366400000,4294.75000000,4435.88000000,4199.86000000,4412.17000000
1637452800000,4412.17000000,4451.00000000,4242.41000000,4258.31000000
1637539200000,4259.70000000,4320.00000000,4022.74000000,4085.97000000
